timesteps,episode_reward,peer_rating,experienced_effort,help_count,signal_count,signal_bias
50,-1.5026777982711792,-1.5026778115952908,25.002975346216992,15,21,21.0
100,-17.005992889404297,-17.005992076053502,36.951399841347815,13,14,14.0
150,-9.020017623901367,-9.02001766985521,39.300982954022324,15,21,21.0
200,-7.8889265060424805,-7.888926278703263,32.49088337161518,21,13,13.0
250,-6.740128517150879,-6.740128594739048,44.64654442039975,16,23,23.0
300,7.580951690673828,7.580951651226151,30.927580657631644,12,22,22.0
350,15.596820831298828,15.59682116829378,22.51206434408693,13,21,21.0
400,-1.7308753728866577,-1.7308753673015644,33.476524809382454,10,13,13.0
450,-5.58444881439209,-5.584448892504042,47.17281487819649,11,20,20.0
500,-14.098254203796387,-14.098254583556056,49.475315522976956,18,11,11.0
550,-4.229068279266357,-4.229068180508342,47.96491447331906,13,17,17.0
600,19.61309814453125,19.613097586901553,28.276848974031218,11,21,21.0
650,9.181044578552246,9.181044614720506,37.7998969890211,21,19,19.0
700,0.4931738078594208,0.49317379735762756,41.877415162233135,19,13,13.0
750,-2.7461748123168945,-2.746174910641905,49.08856108252621,14,15,15.0
800,0.016274571418762207,0.01627457219609596,46.8798588694442,23,14,14.0
850,20.558496475219727,20.55849597186332,21.16447125068105,16,10,10.0
900,13.954854965209961,13.954855318137675,37.328683535724736,12,19,19.0
950,30.78143882751465,30.781438916233355,23.63749561360312,13,23,23.0
1000,14.412575721740723,14.412575663730173,44.29385045902517,11,26,26.0
1050,19.143827438354492,19.143827075529515,26.991062705500326,19,14,14.0
1100,12.805978775024414,12.805978998037503,41.239357560988175,21,21,21.0
1150,19.5103816986084,19.51038241980516,32.478244981464385,19,19,19.0
1200,24.359661102294922,24.359661486697558,31.477892416050043,12,23,23.0
1250,4.268446922302246,4.26844684789863,52.53927962730468,14,22,22.0
1300,17.23991584777832,17.23991678593276,31.207818935278024,16,14,14.0
1350,-0.36529678106307983,-0.3652967946212087,49.298065493012125,18,13,13.0
1400,16.86095428466797,16.86095402034241,33.865042009121574,16,15,15.0
1450,23.249197006225586,23.24919703724725,32.115777099189266,17,20,20.0
1500,8.758028030395508,8.758028134815262,47.85605398664178,14,20,20.0
1550,22.3553409576416,22.355340070459256,32.88592648761343,14,19,19.0
1600,25.4218807220459,25.42188133571506,22.43917618505596,17,13,13.0
1650,7.801212310791016,7.801212467232169,49.52637700162417,12,21,21.0
1700,24.146425247192383,24.146426058998323,22.83156051441376,15,12,12.0
1750,5.940812587738037,5.940812487314986,50.59930603195099,14,20,20.0
1800,21.949748992919922,21.94974820094266,29.929287184885244,17,16,16.0
1850,15.695859909057617,15.695859824102271,36.216968914603164,15,16,16.0
1900,7.00452184677124,7.004522012942154,45.90780427988083,14,16,16.0
1950,4.973514556884766,4.973514354734135,53.6084214542295,12,20,20.0
2000,9.857829093933105,9.857828748884458,49.85101497686979,12,20,20.0
2050,12.854087829589844,12.854087520078053,40.982079814556414,20,14,14.0
2100,14.232476234436035,14.23247619204082,37.35563823236689,24,12,12.0
2150,8.416860580444336,8.416860662194054,52.4582692441921,12,20,20.0
2200,9.526601791381836,9.526601396591545,51.401128354617775,16,19,19.0
2250,32.99245834350586,32.99245855678001,28.60277579923154,13,21,21.0
2300,38.2391357421875,38.23913389602724,23.662863360425728,14,23,23.0
2350,11.9723482131958,11.972347879992043,43.37716627868403,14,16,16.0
2400,9.622580528259277,9.622580088782783,48.65775850447298,20,18,18.0
2450,35.727752685546875,35.72775450193875,20.5828335911016,14,18,18.0
2500,12.294527053833008,12.294526905672612,46.87222486451523,13,20,20.0
2550,8.925921440124512,8.925921290425713,47.026839225270386,23,16,16.0
2600,22.230976104736328,22.230976496656446,36.36278663052227,16,19,19.0
2650,19.337472915649414,19.33747341462921,36.99657044425737,14,17,17.0
2700,17.18011474609375,17.180114680874986,35.80058310235882,19,14,14.0
2750,23.07517433166504,23.07517434024377,31.119392960740733,21,16,16.0
2800,11.260698318481445,11.260698054736373,43.46045835127742,18,16,16.0
2850,18.8956356048584,18.895635098689702,34.392672963025234,19,15,15.0
2900,27.17493438720703,27.174935216391585,26.982824487946505,18,17,17.0
2950,4.5841450691223145,4.5841450422918655,45.39759854623602,18,12,12.0
3000,15.545475959777832,15.545476197828854,38.48677003538471,16,16,16.0
3050,5.051458358764648,5.051458457650831,45.752847946934864,19,12,12.0
3100,6.953230381011963,6.953230354055393,49.96738378896859,15,17,17.0
3150,23.98122787475586,23.981228082144572,27.71924960730779,14,13,13.0
3200,22.17586326599121,22.175863675327342,37.39396249464421,10,21,21.0
3250,27.664854049682617,27.664854671763308,23.38665431245677,15,14,14.0
3300,27.454069137573242,27.45406968428299,26.546987112794532,10,18,18.0
3350,11.18529987335205,11.185299583488344,41.35072392653492,13,16,16.0
3400,12.506671905517578,12.50667165394799,49.30638833896994,14,24,24.0
3450,13.04686450958252,13.046864269720949,45.53876635989466,18,20,20.0
3500,24.44344711303711,24.44344640719542,31.42624573273181,15,18,18.0
